title,slug,difficulty,topics
Count Number of Special Subsequences,count-number-of-special-subsequences,HARD,"array,dynamic-programming"
Minimum Time For K Virus Variants to Spread,minimum-time-for-k-virus-variants-to-spread,HARD,"array,math,binary-search,geometry,enumeration"
Delete Characters to Make Fancy String,delete-characters-to-make-fancy-string,EASY,string
Check if Move is Legal,check-if-move-is-legal,MEDIUM,"array,matrix,enumeration"
Minimum Total Space Wasted With K Resizing Operations,minimum-total-space-wasted-with-k-resizing-operations,MEDIUM,"array,dynamic-programming"
Maximum Product of the Length of Two Palindromic Substrings,maximum-product-of-the-length-of-two-palindromic-substrings,HARD,"string,rolling-hash,hash-function"
Check If String Is a Prefix of Array,check-if-string-is-a-prefix-of-array,EASY,"array,two-pointers,string"
Remove Stones to Minimize the Total,remove-stones-to-minimize-the-total,MEDIUM,"array,greedy,heap-priority-queue"
Minimum Number of Swaps to Make the String Balanced,minimum-number-of-swaps-to-make-the-string-balanced,MEDIUM,"two-pointers,string,stack,greedy"
Find the Longest Valid Obstacle Course at Each Position,find-the-longest-valid-obstacle-course-at-each-position,HARD,"array,binary-search,binary-indexed-tree"
Employees With Missing Information,employees-with-missing-information,EASY,database
Binary Searchable Numbers in an Unsorted Array,binary-searchable-numbers-in-an-unsorted-array,MEDIUM,"array,binary-search"
Number of Strings That Appear as Substrings in Word,number-of-strings-that-appear-as-substrings-in-word,EASY,"array,string"
Array With Elements Not Equal to Average of Neighbors,array-with-elements-not-equal-to-average-of-neighbors,MEDIUM,"array,greedy,sorting"
Minimum Non-Zero Product of the Array Elements,minimum-non-zero-product-of-the-array-elements,MEDIUM,"math,greedy,recursion"
Last Day Where You Can Still Cross,last-day-where-you-can-still-cross,HARD,"array,binary-search,depth-first-search,breadth-first-search,union-find,matrix"
Find if Path Exists in Graph,find-if-path-exists-in-graph,EASY,"depth-first-search,breadth-first-search,union-find,graph"
First and Last Call On the Same Day,first-and-last-call-on-the-same-day,HARD,database
Count Nodes Equal to Sum of Descendants,count-nodes-equal-to-sum-of-descendants,MEDIUM,"tree,depth-first-search,binary-tree"
Minimum Time to Type Word Using Special Typewriter,minimum-time-to-type-word-using-special-typewriter,EASY,"string,greedy"
Maximum Matrix Sum,maximum-matrix-sum,MEDIUM,"array,greedy,matrix"
Number of Ways to Arrive at Destination,number-of-ways-to-arrive-at-destination,MEDIUM,"dynamic-programming,graph,topological-sort,shortest-path"
Number of Ways to Separate Numbers,number-of-ways-to-separate-numbers,HARD,"string,dynamic-programming,suffix-array"
Employees Whose Manager Left the Company,employees-whose-manager-left-the-company,EASY,database
Find Greatest Common Divisor of Array,find-greatest-common-divisor-of-array,EASY,"array,math,number-theory"
Find Unique Binary String,find-unique-binary-string,MEDIUM,"array,hash-table,string,backtracking"
Minimize the Difference Between Target and Chosen Elements,minimize-the-difference-between-target-and-chosen-elements,MEDIUM,"array,dynamic-programming,matrix"
Find Array Given Subset Sums,find-array-given-subset-sums,HARD,"array,divide-and-conquer"
Widest Pair of Indices With Equal Range Sum,widest-pair-of-indices-with-equal-range-sum,MEDIUM,"array,hash-table,prefix-sum"
Minimum Difference Between Highest and Lowest of K Scores,minimum-difference-between-highest-and-lowest-of-k-scores,EASY,"array,sliding-window,sorting"
Find the Kth Largest Integer in the Array,find-the-kth-largest-integer-in-the-array,MEDIUM,"array,string,divide-and-conquer,sorting,heap-priority-queue,quickselect"
Minimum Number of Work Sessions to Finish the Tasks,minimum-number-of-work-sessions-to-finish-the-tasks,MEDIUM,"array,dynamic-programming,backtracking,bit-manipulation,bitmask"
Number of Unique Good Subsequences,number-of-unique-good-subsequences,HARD,"string,dynamic-programming"
Find Cutoff Score for Each School,find-cutoff-score-for-each-school,MEDIUM,database
Maximum Number of People That Can Be Caught in Tag,maximum-number-of-people-that-can-be-caught-in-tag,MEDIUM,"array,greedy"
Count the Number of Experiments,count-the-number-of-experiments,MEDIUM,database
Find the Middle Index in Array,find-the-middle-index-in-array,EASY,"array,prefix-sum"
Find All Groups of Farmland,find-all-groups-of-farmland,MEDIUM,"array,depth-first-search,breadth-first-search,matrix"
Operations on Tree,operations-on-tree,MEDIUM,"array,hash-table,tree,depth-first-search,breadth-first-search,design"
The Number of Good Subsets,the-number-of-good-subsets,HARD,"array,hash-table,math,dynamic-programming,bit-manipulation,counting,number-theory,bitmask"
Count Special Quadruplets,count-special-quadruplets,EASY,"array,hash-table,enumeration"
The Number of Weak Characters in the Game,the-number-of-weak-characters-in-the-game,MEDIUM,"array,stack,greedy,sorting,monotonic-stack"
First Day Where You Have Been in All the Rooms,first-day-where-you-have-been-in-all-the-rooms,MEDIUM,"array,dynamic-programming"
GCD Sort of an Array,gcd-sort-of-an-array,HARD,"array,math,union-find,sorting,number-theory"
Smallest Greater Multiple Made of Two Digits,smallest-greater-multiple-made-of-two-digits,MEDIUM,"math,enumeration"
Reverse Prefix of Word,reverse-prefix-of-word,EASY,"two-pointers,string,stack"
Number of Pairs of Interchangeable Rectangles,number-of-pairs-of-interchangeable-rectangles,MEDIUM,"array,hash-table,math,counting,number-theory"
Maximum Product of the Length of Two Palindromic Subsequences,maximum-product-of-the-length-of-two-palindromic-subsequences,MEDIUM,"string,dynamic-programming,backtracking,bit-manipulation,bitmask"
Smallest Missing Genetic Value in Each Subtree,smallest-missing-genetic-value-in-each-subtree,HARD,"dynamic-programming,tree,depth-first-search,union-find"
The Number of Seniors and Juniors to Join the Company,the-number-of-seniors-and-juniors-to-join-the-company,HARD,database
Subtree Removal Game with Fibonacci Tree,subtree-removal-game-with-fibonacci-tree,HARD,"math,dynamic-programming,tree,binary-tree,game-theory"
Count Number of Pairs With Absolute Difference K,count-number-of-pairs-with-absolute-difference-k,EASY,"array,hash-table,counting"
Find Original Array From Doubled Array,find-original-array-from-doubled-array,MEDIUM,"array,hash-table,greedy,sorting"
Maximum Earnings From Taxi,maximum-earnings-from-taxi,MEDIUM,"array,hash-table,binary-search,dynamic-programming,sorting"
Minimum Number of Operations to Make Array Continuous,minimum-number-of-operations-to-make-array-continuous,HARD,"array,hash-table,binary-search,sliding-window"
The Number of Seniors and Juniors to Join the Company II,the-number-of-seniors-and-juniors-to-join-the-company-ii,HARD,database
Final Value of Variable After Performing Operations,final-value-of-variable-after-performing-operations,EASY,"array,string,simulation"
Sum of Beauty in the Array,sum-of-beauty-in-the-array,MEDIUM,array
Detect Squares,detect-squares,MEDIUM,"array,hash-table,design,counting"
Longest Subsequence Repeated k Times,longest-subsequence-repeated-k-times,HARD,"string,backtracking,greedy,counting,enumeration"
Average Height of Buildings in Each Segment,average-height-of-buildings-in-each-segment,MEDIUM,"array,greedy,sorting,heap-priority-queue"
Maximum Difference Between Increasing Elements,maximum-difference-between-increasing-elements,EASY,array
Grid Game,grid-game,MEDIUM,"array,matrix,prefix-sum"
Check if Word Can Be Placed In Crossword,check-if-word-can-be-placed-in-crossword,MEDIUM,"array,matrix,enumeration"
The Score of Students Solving Math Expression,the-score-of-students-solving-math-expression,HARD,"array,hash-table,math,string,dynamic-programming,stack,memoization"
Number of Accounts That Did Not Stream,number-of-accounts-that-did-not-stream,MEDIUM,database
Brightest Position on Street,brightest-position-on-street,MEDIUM,"array,sorting,prefix-sum,ordered-set"
Convert 1D Array Into 2D Array,convert-1d-array-into-2d-array,EASY,"array,matrix,simulation"
Number of Pairs of Strings With Concatenation Equal to Target,number-of-pairs-of-strings-with-concatenation-equal-to-target,MEDIUM,"array,hash-table,string,counting"
Maximize the Confusion of an Exam,maximize-the-confusion-of-an-exam,MEDIUM,"string,binary-search,sliding-window,prefix-sum"
Maximum Number of Ways to Partition an Array,maximum-number-of-ways-to-partition-an-array,HARD,"array,hash-table,counting,enumeration,prefix-sum"
Low-Quality Problems,low-quality-problems,EASY,database
Minimum Moves to Convert String,minimum-moves-to-convert-string,EASY,"string,greedy"
Find Missing Observations,find-missing-observations,MEDIUM,"array,math,simulation"
Stone Game IX,stone-game-ix,MEDIUM,"array,math,greedy,counting,game-theory"
Smallest K-Length Subsequence With Occurrences of a Letter,smallest-k-length-subsequence-with-occurrences-of-a-letter,HARD,"string,stack,greedy,monotonic-stack"
Count Subarrays With More Ones Than Zeros,count-subarrays-with-more-ones-than-zeros,MEDIUM,"array,hash-table,binary-search,divide-and-conquer,binary-indexed-tree,segment-tree,merge-sort,ordered-set"
Two Out of Three,two-out-of-three,EASY,"array,hash-table,bit-manipulation"
Minimum Operations to Make a Uni-Value Grid,minimum-operations-to-make-a-uni-value-grid,MEDIUM,"array,math,sorting,matrix"
Stock Price Fluctuation ,stock-price-fluctuation,MEDIUM,"hash-table,design,heap-priority-queue,data-stream,ordered-set"
Partition Array Into Two Arrays to Minimize Sum Difference,partition-array-into-two-arrays-to-minimize-sum-difference,HARD,"array,two-pointers,binary-search,dynamic-programming,bit-manipulation,ordered-set,bitmask"
Maximum Alternating Subarray Sum,maximum-alternating-subarray-sum,MEDIUM,"array,dynamic-programming"
Minimum Number of Moves to Seat Everyone,minimum-number-of-moves-to-seat-everyone,EASY,"array,greedy,sorting,counting-sort"
Remove Colored Pieces if Both Neighbors are the Same Color,remove-colored-pieces-if-both-neighbors-are-the-same-color,MEDIUM,"math,string,greedy,game-theory"
The Time When the Network Becomes Idle,the-time-when-the-network-becomes-idle,MEDIUM,"array,breadth-first-search,graph"
Kth Smallest Product of Two Sorted Arrays,kth-smallest-product-of-two-sorted-arrays,HARD,"array,binary-search"
Accepted Candidates From the Interviews,accepted-candidates-from-the-interviews,MEDIUM,database
Check if Numbers Are Ascending in a Sentence,check-if-numbers-are-ascending-in-a-sentence,EASY,string
Simple Bank System,simple-bank-system,MEDIUM,"array,hash-table,design,simulation"
Count Number of Maximum Bitwise-OR Subsets,count-number-of-maximum-bitwise-or-subsets,MEDIUM,"array,backtracking,bit-manipulation,enumeration"
Second Minimum Time to Reach Destination,second-minimum-time-to-reach-destination,HARD,"breadth-first-search,graph,shortest-path"
Sort Linked List Already Sorted Using Absolute Values,sort-linked-list-already-sorted-using-absolute-values,MEDIUM,"linked-list,two-pointers,sorting"
Number of Valid Words in a Sentence,number-of-valid-words-in-a-sentence,EASY,string
Next Greater Numerically Balanced Number,next-greater-numerically-balanced-number,MEDIUM,"hash-table,math,backtracking,counting,enumeration"
Count Nodes With the Highest Score,count-nodes-with-the-highest-score,MEDIUM,"array,tree,depth-first-search,binary-tree"
Parallel Courses III,parallel-courses-iii,HARD,"array,dynamic-programming,graph,topological-sort"
The Category of Each Member in the Store,the-category-of-each-member-in-the-store,MEDIUM,database
Minimum Cost to Separate Sentence Into Rows,minimum-cost-to-separate-sentence-into-rows,MEDIUM,"array,dynamic-programming"
Kth Distinct String in an Array,kth-distinct-string-in-an-array,EASY,"array,hash-table,string,counting"
Two Best Non-Overlapping Events,two-best-non-overlapping-events,MEDIUM,"array,binary-search,dynamic-programming,sorting,heap-priority-queue"
Plates Between Candles,plates-between-candles,MEDIUM,"array,string,binary-search,prefix-sum"
Number of Valid Move Combinations On Chessboard,number-of-valid-move-combinations-on-chessboard,HARD,"array,string,backtracking,simulation"
Smallest Index With Equal Value,smallest-index-with-equal-value,EASY,array
Find the Minimum and Maximum Number of Nodes Between Critical Points,find-the-minimum-and-maximum-number-of-nodes-between-critical-points,MEDIUM,linked-list
Minimum Operations to Convert Number,minimum-operations-to-convert-number,MEDIUM,"array,breadth-first-search"
Check if an Original String Exists Given Two Encoded Strings,check-if-an-original-string-exists-given-two-encoded-strings,HARD,"string,dynamic-programming"
Number of Spaces Cleaning Robot Cleaned,number-of-spaces-cleaning-robot-cleaned,MEDIUM,"array,matrix,simulation"
Count Vowel Substrings of a String,count-vowel-substrings-of-a-string,EASY,"hash-table,string"
Vowels of All Substrings,vowels-of-all-substrings,MEDIUM,"math,string,dynamic-programming,combinatorics"
Minimized Maximum of Products Distributed to Any Store,minimized-maximum-of-products-distributed-to-any-store,MEDIUM,"array,binary-search,greedy"
Maximum Path Quality of a Graph,maximum-path-quality-of-a-graph,HARD,"array,backtracking,graph"
Account Balance,account-balance,MEDIUM,database
Number of Equal Count Substrings,number-of-equal-count-substrings,MEDIUM,"hash-table,string,sliding-window,counting"
Check Whether Two Strings are Almost Equivalent,check-whether-two-strings-are-almost-equivalent,EASY,"hash-table,string,counting"
Walking Robot Simulation II,walking-robot-simulation-ii,MEDIUM,"design,simulation"
Most Beautiful Item for Each Query,most-beautiful-item-for-each-query,MEDIUM,"array,binary-search,sorting"
Maximum Number of Tasks You Can Assign,maximum-number-of-tasks-you-can-assign,HARD,"array,two-pointers,binary-search,greedy,queue,sorting,monotonic-queue"
The Winner University,the-winner-university,EASY,database
Time Needed to Buy Tickets,time-needed-to-buy-tickets,EASY,"array,queue,simulation"
Reverse Nodes in Even Length Groups,reverse-nodes-in-even-length-groups,MEDIUM,linked-list
Decode the Slanted Ciphertext,decode-the-slanted-ciphertext,MEDIUM,"string,simulation"
Process Restricted Friend Requests,process-restricted-friend-requests,HARD,"union-find,graph"
Paths in Maze That Lead to Same Room,paths-in-maze-that-lead-to-same-room,MEDIUM,graph
Two Furthest Houses With Different Colors,two-furthest-houses-with-different-colors,EASY,"array,greedy"
Watering Plants,watering-plants,MEDIUM,"array,simulation"
Range Frequency Queries,range-frequency-queries,MEDIUM,"array,hash-table,binary-search,design,segment-tree"
Sum of k-Mirror Numbers,sum-of-k-mirror-numbers,HARD,"math,enumeration"
The Number of Rich Customers,the-number-of-rich-customers,EASY,database
Substrings That Begin and End With the Same Letter,substrings-that-begin-and-end-with-the-same-letter,MEDIUM,"hash-table,math,string,counting,prefix-sum"
Drop Type 1 Orders for Customers With Type 0 Orders,drop-type-1-orders-for-customers-with-type-0-orders,MEDIUM,database
Count Common Words With One Occurrence,count-common-words-with-one-occurrence,EASY,"array,hash-table,string,counting"
Minimum Number of Food Buckets to Feed the Hamsters,minimum-number-of-food-buckets-to-feed-the-hamsters,MEDIUM,"string,dynamic-programming,greedy"
Minimum Cost Homecoming of a Robot in a Grid,minimum-cost-homecoming-of-a-robot-in-a-grid,MEDIUM,"array,greedy"
Count Fertile Pyramids in a Land,count-fertile-pyramids-in-a-land,HARD,"array,dynamic-programming,matrix"
Find Target Indices After Sorting Array,find-target-indices-after-sorting-array,EASY,"array,binary-search,sorting"
K Radius Subarray Averages,k-radius-subarray-averages,MEDIUM,"array,sliding-window"
Removing Minimum and Maximum From Array,removing-minimum-and-maximum-from-array,MEDIUM,"array,greedy"
Find All People With Secret,find-all-people-with-secret,HARD,"depth-first-search,breadth-first-search,union-find,graph,sorting"
Minimum Cost to Reach City With Discounts,minimum-cost-to-reach-city-with-discounts,MEDIUM,"graph,heap-priority-queue,shortest-path"
Finding 3-Digit Even Numbers,finding-3-digit-even-numbers,EASY,"array,hash-table,recursion,sorting,enumeration"
Delete the Middle Node of a Linked List,delete-the-middle-node-of-a-linked-list,MEDIUM,"linked-list,two-pointers"
Step-By-Step Directions From a Binary Tree Node to Another,step-by-step-directions-from-a-binary-tree-node-to-another,MEDIUM,"string,tree,depth-first-search,binary-tree"
Valid Arrangement of Pairs,valid-arrangement-of-pairs,HARD,"depth-first-search,graph,eulerian-circuit"
Subsequence of Size K With the Largest Even Sum,subsequence-of-size-k-with-the-largest-even-sum,MEDIUM,"array,greedy,sorting"
Find Subsequence of Length K With the Largest Sum,find-subsequence-of-length-k-with-the-largest-sum,EASY,"array,hash-table,sorting,heap-priority-queue"
Find Good Days to Rob the Bank,find-good-days-to-rob-the-bank,MEDIUM,"array,dynamic-programming,prefix-sum"
Detonate the Maximum Bombs,detonate-the-maximum-bombs,MEDIUM,"array,math,depth-first-search,breadth-first-search,graph,geometry"
Sequentially Ordinal Rank Tracker,sequentially-ordinal-rank-tracker,HARD,"design,heap-priority-queue,data-stream,ordered-set"
Rings and Rods,rings-and-rods,EASY,"hash-table,string"
Sum of Subarray Ranges,sum-of-subarray-ranges,MEDIUM,"array,stack,monotonic-stack"
Watering Plants II,watering-plants-ii,MEDIUM,"array,two-pointers,simulation"
Maximum Fruits Harvested After at Most K Steps,maximum-fruits-harvested-after-at-most-k-steps,HARD,"array,binary-search,sliding-window,prefix-sum"
Number of Unique Flavors After Sharing K Candies,number-of-unique-flavors-after-sharing-k-candies,MEDIUM,"array,hash-table,sliding-window"
Find First Palindromic String in the Array,find-first-palindromic-string-in-the-array,EASY,"array,two-pointers,string"
Adding Spaces to a String,adding-spaces-to-a-string,MEDIUM,"array,two-pointers,string,simulation"
Number of Smooth Descent Periods of a Stock,number-of-smooth-descent-periods-of-a-stock,MEDIUM,"array,math,dynamic-programming"
Minimum Operations to Make the Array K-Increasing,minimum-operations-to-make-the-array-k-increasing,HARD,"array,binary-search"
The Airport With the Most Traffic,the-airport-with-the-most-traffic,MEDIUM,database
Elements in Array After Removing and Replacing Elements,elements-in-array-after-removing-and-replacing-elements,MEDIUM,array
Maximum Number of Words Found in Sentences,maximum-number-of-words-found-in-sentences,EASY,"array,string"
Find All Possible Recipes from Given Supplies,find-all-possible-recipes-from-given-supplies,MEDIUM,"array,hash-table,string,graph,topological-sort"
Check if a Parentheses String Can Be Valid,check-if-a-parentheses-string-can-be-valid,MEDIUM,"string,stack,greedy"
Abbreviating the Product of a Range,abbreviating-the-product-of-a-range,HARD,math
Build the Equation,build-the-equation,HARD,database
A Number After a Double Reversal,a-number-after-a-double-reversal,EASY,math
Execution of All Suffix Instructions Staying in a Grid,execution-of-all-suffix-instructions-staying-in-a-grid,MEDIUM,"string,simulation"
Intervals Between Identical Elements,intervals-between-identical-elements,MEDIUM,"array,hash-table,prefix-sum"
Recover the Original Array,recover-the-original-array,HARD,"array,hash-table,two-pointers,sorting,enumeration"
Minimum Operations to Remove Adjacent Ones in Matrix,minimum-operations-to-remove-adjacent-ones-in-matrix,HARD,"array,graph,matrix"
Check if All A's Appears Before All B's,check-if-all-as-appears-before-all-bs,EASY,string
Number of Laser Beams in a Bank,number-of-laser-beams-in-a-bank,MEDIUM,"array,math,string,matrix"
Destroying Asteroids,destroying-asteroids,MEDIUM,"array,greedy,sorting"
Maximum Employees to Be Invited to a Meeting,maximum-employees-to-be-invited-to-a-meeting,HARD,"depth-first-search,graph,topological-sort"
Remove All Ones With Row and Column Flips,remove-all-ones-with-row-and-column-flips,MEDIUM,"array,math,bit-manipulation,matrix"
Capitalize the Title,capitalize-the-title,EASY,string
Maximum Twin Sum of a Linked List,maximum-twin-sum-of-a-linked-list,MEDIUM,"linked-list,two-pointers,stack"
Longest Palindrome by Concatenating Two Letter Words,longest-palindrome-by-concatenating-two-letter-words,MEDIUM,"array,hash-table,string,greedy,counting"
Stamping the Grid,stamping-the-grid,HARD,"array,greedy,matrix,prefix-sum"
Check if Every Row and Column Contains All Numbers,check-if-every-row-and-column-contains-all-numbers,EASY,"array,hash-table,matrix"
Minimum Swaps to Group All 1's Together II,minimum-swaps-to-group-all-1s-together-ii,MEDIUM,"array,sliding-window"
Count Words Obtained After Adding a Letter,count-words-obtained-after-adding-a-letter,MEDIUM,"array,hash-table,string,bit-manipulation,sorting"
Earliest Possible Day of Full Bloom,earliest-possible-day-of-full-bloom,HARD,"array,greedy,sorting"
Pour Water Between Buckets to Make Water Levels Equal,pour-water-between-buckets-to-make-water-levels-equal,MEDIUM,"array,binary-search"
Divide a String Into Groups of Size k,divide-a-string-into-groups-of-size-k,EASY,"string,simulation"
Minimum Moves to Reach Target Score,minimum-moves-to-reach-target-score,MEDIUM,"math,greedy"
Solving Questions With Brainpower,solving-questions-with-brainpower,MEDIUM,"array,dynamic-programming"
Maximum Running Time of N Computers,maximum-running-time-of-n-computers,HARD,"array,binary-search,greedy,sorting"
The Number of Passengers in Each Bus I,the-number-of-passengers-in-each-bus-i,MEDIUM,database
Choose Numbers From Two Arrays in Range,choose-numbers-from-two-arrays-in-range,HARD,"array,dynamic-programming"
Minimum Cost of Buying Candies With Discount,minimum-cost-of-buying-candies-with-discount,EASY,"array,greedy,sorting"
Count the Hidden Sequences,count-the-hidden-sequences,MEDIUM,"array,prefix-sum"
K Highest Ranked Items Within a Price Range,k-highest-ranked-items-within-a-price-range,MEDIUM,"array,breadth-first-search,sorting,heap-priority-queue,matrix"
Number of Ways to Divide a Long Corridor,number-of-ways-to-divide-a-long-corridor,HARD,"math,string,dynamic-programming"
Count Elements With Strictly Smaller and Greater Elements ,count-elements-with-strictly-smaller-and-greater-elements,EASY,"array,sorting,counting"
Rearrange Array Elements by Sign,rearrange-array-elements-by-sign,MEDIUM,"array,two-pointers,simulation"
Find All Lonely Numbers in the Array,find-all-lonely-numbers-in-the-array,MEDIUM,"array,hash-table,counting"
Maximum Good People Based on Statements,maximum-good-people-based-on-statements,HARD,"array,backtracking,bit-manipulation,enumeration"
Minimum Number of Lines to Cover Points,minimum-number-of-lines-to-cover-points,MEDIUM,"array,hash-table,math,dynamic-programming,backtracking,bit-manipulation,geometry,bitmask"
The Number of Passengers in Each Bus II,the-number-of-passengers-in-each-bus-ii,HARD,database
Keep Multiplying Found Values by Two,keep-multiplying-found-values-by-two,EASY,"array,hash-table,sorting,simulation"
All Divisions With the Highest Score of a Binary Array,all-divisions-with-the-highest-score-of-a-binary-array,MEDIUM,array
Find Substring With Given Hash Value,find-substring-with-given-hash-value,HARD,"string,sliding-window,rolling-hash,hash-function"
Groups of Strings,groups-of-strings,HARD,"string,bit-manipulation,union-find"
Amount of New Area Painted Each Day,amount-of-new-area-painted-each-day,HARD,"array,segment-tree,ordered-set"
Order Two Columns Independently,order-two-columns-independently,MEDIUM,database
Minimum Sum of Four Digit Number After Splitting Digits,minimum-sum-of-four-digit-number-after-splitting-digits,EASY,"math,greedy,sorting"
Partition Array According to Given Pivot,partition-array-according-to-given-pivot,MEDIUM,"array,two-pointers,simulation"
Minimum Cost to Set Cooking Time,minimum-cost-to-set-cooking-time,MEDIUM,"math,enumeration"
Minimum Difference in Sums After Removal of Elements,minimum-difference-in-sums-after-removal-of-elements,HARD,"array,dynamic-programming,heap-priority-queue"
Sort Even and Odd Indices Independently,sort-even-and-odd-indices-independently,EASY,"array,sorting"
Smallest Value of the Rearranged Number,smallest-value-of-the-rearranged-number,MEDIUM,"math,sorting"
Design Bitset,design-bitset,MEDIUM,"array,hash-table,string,design"
Minimum Time to Remove All Cars Containing Illegal Goods,minimum-time-to-remove-all-cars-containing-illegal-goods,HARD,"string,dynamic-programming"
Unique Substrings With Equal Digit Frequency,unique-substrings-with-equal-digit-frequency,MEDIUM,"hash-table,string,rolling-hash,counting,hash-function"
Count Operations to Obtain Zero,count-operations-to-obtain-zero,EASY,"math,simulation"
Minimum Operations to Make the Array Alternating,minimum-operations-to-make-the-array-alternating,MEDIUM,"array,hash-table,greedy,counting"
Removing Minimum Number of Magic Beans,removing-minimum-number-of-magic-beans,MEDIUM,"array,greedy,sorting,enumeration,prefix-sum"
Maximum AND Sum of Array,maximum-and-sum-of-array,HARD,"array,dynamic-programming,bit-manipulation,bitmask"
Longest Winning Streak,longest-winning-streak,HARD,database
Remove All Ones With Row and Column Flips II,remove-all-ones-with-row-and-column-flips-ii,MEDIUM,"array,bit-manipulation,breadth-first-search,matrix"
The Change in Global Rankings,the-change-in-global-rankings,MEDIUM,database
Count Equal and Divisible Pairs in an Array,count-equal-and-divisible-pairs-in-an-array,EASY,array
Find Three Consecutive Integers That Sum to a Given Number,find-three-consecutive-integers-that-sum-to-a-given-number,MEDIUM,"math,simulation"
Maximum Split of Positive Even Integers,maximum-split-of-positive-even-integers,MEDIUM,"math,backtracking,greedy"
Count Good Triplets in an Array,count-good-triplets-in-an-array,HARD,"array,binary-search,divide-and-conquer,binary-indexed-tree,segment-tree,merge-sort,ordered-set"
Count Integers With Even Digit Sum,count-integers-with-even-digit-sum,EASY,"math,simulation"
Merge Nodes in Between Zeros,merge-nodes-in-between-zeros,MEDIUM,"linked-list,simulation"
Construct String With Repeat Limit,construct-string-with-repeat-limit,MEDIUM,"hash-table,string,greedy,heap-priority-queue,counting"
Count Array Pairs Divisible by K,count-array-pairs-divisible-by-k,HARD,"array,math,number-theory"
Number of Ways to Build Sturdy Brick Wall,number-of-ways-to-build-sturdy-brick-wall,MEDIUM,"array,dynamic-programming,bit-manipulation,bitmask"
Counting Words With a Given Prefix,counting-words-with-a-given-prefix,EASY,"array,string,string-matching"
Minimum Number of Steps to Make Two Strings Anagram II,minimum-number-of-steps-to-make-two-strings-anagram-ii,MEDIUM,"hash-table,string,counting"
Minimum Time to Complete Trips,minimum-time-to-complete-trips,MEDIUM,"array,binary-search"
Minimum Time to Finish the Race,minimum-time-to-finish-the-race,HARD,"array,dynamic-programming"
Number of Ways to Build House of Cards,number-of-ways-to-build-house-of-cards,MEDIUM,"math,dynamic-programming"
Most Frequent Number Following Key In an Array,most-frequent-number-following-key-in-an-array,EASY,"array,hash-table,counting"
Sort the Jumbled Numbers,sort-the-jumbled-numbers,MEDIUM,"array,sorting"
All Ancestors of a Node in a Directed Acyclic Graph,all-ancestors-of-a-node-in-a-directed-acyclic-graph,MEDIUM,"depth-first-search,breadth-first-search,graph,topological-sort"
Minimum Number of Moves to Make Palindrome,minimum-number-of-moves-to-make-palindrome,HARD,"two-pointers,string,greedy,binary-indexed-tree"
Cells in a Range on an Excel Sheet,cells-in-a-range-on-an-excel-sheet,EASY,string
Append K Integers With Minimal Sum,append-k-integers-with-minimal-sum,MEDIUM,"array,math,greedy,sorting"
Create Binary Tree From Descriptions,create-binary-tree-from-descriptions,MEDIUM,"array,hash-table,tree,binary-tree"
Replace Non-Coprime Numbers in Array,replace-non-coprime-numbers-in-array,HARD,"array,math,stack,number-theory"
Number of Single Divisor Triplets,number-of-single-divisor-triplets,MEDIUM,math
Finding the Topic of Each Post,finding-the-topic-of-each-post,HARD,database
Find All K-Distant Indices in an Array,find-all-k-distant-indices-in-an-array,EASY,"array,two-pointers"
Count Artifacts That Can Be Extracted,count-artifacts-that-can-be-extracted,MEDIUM,"array,hash-table,simulation"
Maximize the Topmost Element After K Moves,maximize-the-topmost-element-after-k-moves,MEDIUM,"array,greedy"
Minimum Weighted Subgraph With the Required Paths,minimum-weighted-subgraph-with-the-required-paths,HARD,"graph,shortest-path"
Distance to a Cycle in Undirected Graph,distance-to-a-cycle-in-undirected-graph,HARD,"depth-first-search,breadth-first-search,union-find,graph"
The Number of Users That Are Eligible for Discount,the-number-of-users-that-are-eligible-for-discount,EASY,database
Divide Array Into Equal Pairs,divide-array-into-equal-pairs,EASY,"array,hash-table,bit-manipulation,counting"
Maximize Number of Subsequences in a String,maximize-number-of-subsequences-in-a-string,MEDIUM,"string,greedy,prefix-sum"
Minimum Operations to Halve Array Sum,minimum-operations-to-halve-array-sum,MEDIUM,"array,greedy,heap-priority-queue"
Minimum White Tiles After Covering With Carpets,minimum-white-tiles-after-covering-with-carpets,HARD,"string,dynamic-programming,prefix-sum"
Count Hills and Valleys in an Array,count-hills-and-valleys-in-an-array,EASY,array
Count Collisions on a Road,count-collisions-on-a-road,MEDIUM,"string,stack,simulation"
Maximum Points in an Archery Competition,maximum-points-in-an-archery-competition,MEDIUM,"array,backtracking,bit-manipulation,enumeration"
Longest Substring of One Repeating Character,longest-substring-of-one-repeating-character,HARD,"array,string,segment-tree,ordered-set"
Minimum Health to Beat Game,minimum-health-to-beat-game,MEDIUM,"array,greedy"
Find the Difference of Two Arrays,find-the-difference-of-two-arrays,EASY,"array,hash-table"
Minimum Deletions to Make Array Beautiful,minimum-deletions-to-make-array-beautiful,MEDIUM,"array,stack,greedy"
Find Palindrome With Fixed Length,find-palindrome-with-fixed-length,MEDIUM,"array,math"
Maximum Value of K Coins From Piles,maximum-value-of-k-coins-from-piles,HARD,"array,dynamic-programming,prefix-sum"
Maximum Sum Score of Array,maximum-sum-score-of-array,MEDIUM,"array,prefix-sum"
